,date,section,area,eff_width
0,2023-07-02,1,1143600,139.93989290364266
1,2023-07-02,2,700600,83.58277331125456
2,2023-07-02,3,557500,66.62436169081278
3,2023-07-12,1,2615100,320.0042094546309
4,2023-07-12,2,1676600,200.02123570318213
5,2023-07-12,3,1008100,120.47357671840064
6,2023-07-27,1,2321100,284.02805650458635
7,2023-07-27,2,1738900,207.45373181692915
8,2023-07-27,3,970400,115.96821629554209
9,2023-07-29,1,2360600,288.8615872580787
10,2023-07-29,2,1591600,189.88059092519663
11,2023-07-29,3,634300,75.80239035064133
12,2023-07-30,1,2291900,280.4549147830173
13,2023-07-30,2,1382900,164.9823254526605
14,2023-07-30,3,479800,57.33877800762685
15,2023-08-03,1,2143100,262.2465761470764
16,2023-08-03,2,1407700,167.94100769376684
17,2023-08-03,3,825800,98.68770920945863
18,2023-08-06,1,1910000,233.7226263081125
19,2023-08-06,2,1213700,144.79647725930582
20,2023-08-06,3,802600,95.91517971846876
21,2023-08-11,1,1773300,216.99493886501355
22,2023-08-11,2,783200,93.43709400139105
23,2023-08-11,3,597300,71.3806838348385
24,2023-08-14,1,1953600,239.05786531703066
25,2023-08-14,2,1288000,153.66059381229786
26,2023-08-14,3,592800,70.84290871805167
27,2024-06-08,1,763000,93.36668265606798
28,2024-06-08,2,398500,47.54172875326141
29,2024-06-08,3,401800,48.01734264998847
30,2024-07-16,1,1425600,174.4476314475629
31,2024-07-16,2,1023400,122.09336312694535
32,2024-07-16,3,686700,82.0644828216702
33,2024-07-19,1,1735100,212.3204863388513
34,2024-07-19,2,1226000,146.26388820953196
35,2024-07-19,3,799500,95.54471241579338
36,2024-08-02,1,1179600,144.34513612201545
37,2024-08-02,2,870300,103.82827235624443
38,2024-08-02,3,615600,73.56763597643828
39,2024-08-03,1,1263700,154.63627375160303
40,2024-08-03,2,864100,103.08860179596783
41,2024-08-03,3,620500,74.15321332582839
42,2024-08-12,1,1637200,200.34067214222082
43,2024-08-12,2,1220000,145.54807798990944
44,2024-08-12,3,744700,88.99580654914489
45,2024-08-13,1,1713800,209.71405076798072
46,2024-08-13,2,1249000,149.00782738475155
47,2024-08-13,3,748400,89.43797720072517
